date,heure_debut,heure_fin,titre,description,lieu,prix,modalites,type
2025-12-14,14:00,16:00,Visite de Saint Nicolas et Père Noël + goûter,Infos supplémentaires très bientôt,Club,,,evenement
2025-11-15,10:00,14:00,Balade éducative > 8 mois,Une balade pour apprendre à vos chiens à évoluer en meute tout en étant attachés. Pour faire des rencontres: cyclistes voitures tracteurs joggeurs etc... Et mettre en pratique les apprentissages du club +/- 4km en urbain et campagne,Club,5€/personne membre 7€/personne non membre,Obligation pour tout détenteur de chien d'avoir un sac à dos contenant une longe de 1Om (PAS DE LAISSE ENROULEUR) de l'eau pour le chien une petite trousse de secours permettant de faire un pansement simple (ofr secourisme canin). Amis bienvenus sur présentation du carnet véto du chien (toux du chenil en plus des vaccins habituels). Chien non membre du club : munissez vous du carnet vétérinaire ! Pas besoin de s'inscrire à l'avance. Paiement au départ de la balade,balade
2025-11-09,10:00,18:00,Initiation au secourisme canin,,Club,,,formation
2025-11-08,10:00,14:00,Balade éducative - Chiots,Une balade pour apprendre à vos chiens à évoluer en meute tout en étant attachés. Pour faire des rencontres: cyclistes voitures tracteurs joggeurs etc... Et mettre en pratique les apprentissages du club +/- 4km en urbain et campagne,Club,5€/personne membre 7€/personne non membre,Obligation pour tout détenteur de chien d'avoir un sac à dos contenant une longe de 1Om (PAS DE LAISSE ENROULEUR) de l'eau pour le chien une petite trousse de secours permettant de faire un pansement simple (ofr secourisme canin). Amis bienvenus sur présentation du carnet véto du chien (toux du chenil en plus des vaccins habituels). Chien non membre du club : munissez vous du carnet vétérinaire ! Pas besoin de s'inscrire à l'avance. Paiement au départ de la balade,balade
2025-10-31,18:00,22:00,Balade contée Halloween + souper,Balade contée concours de déguisements chasse au trésor… À 20h souper soupe potiron-lardons et/ou soupe à l'oignon fromage croutons,Club,souper & balade : 8€/pers balade seule : 3€/chien,Réservation et paiement avant le 22 octobre 19h dans les locaux du club.,evenement
2025-10-18,10:00,14:00,Balade éducative > 8 mois,Une balade pour apprendre à vos chiens à évoluer en meute tout en étant attachés. Pour faire des rencontres: cyclistes voitures tracteurs joggeurs etc... Et mettre en pratique les apprentissages du club +/- 4km en urbain et campagne,Club,5€/personne membre 7€/personne non membre,Obligation pour tout détenteur de chien d'avoir un sac à dos contenant une longe de 1Om (PAS DE LAISSE ENROULEUR) de l'eau pour le chien une petite trousse de secours permettant de faire un pansement simple (ofr secourisme canin). Amis bienvenus sur présentation du carnet véto du chien (toux du chenil en plus des vaccins habituels). Chien non membre du club : munissez vous du carnet vétérinaire ! Pas besoin de s'inscrire à l'avance. Paiement au départ de la balade,balade
2025-10-04,10:00,14:00,Balade éducative - Chiots,Une balade pour apprendre à vos chiens à évoluer en meute tout en étant attachés. Pour faire des rencontres: cyclistes voitures tracteurs joggeurs etc... Et mettre en pratique les apprentissages du club +/- 4km en urbain et campagne,Club,5€/personne membre 7€/personne non membre,Obligation pour tout détenteur de chien d'avoir un sac à dos contenant une longe de 1Om (PAS DE LAISSE ENROULEUR) de l'eau pour le chien une petite trousse de secours permettant de faire un pansement simple (ofr secourisme canin). Amis bienvenus sur présentation du carnet véto du chien (toux du chenil en plus des vaccins habituels). Chien non membre du club : munissez vous du carnet vétérinaire ! Pas besoin de s'inscrire à l'avance. Paiement au départ de la balade,balade
2025-09-20,10:00,14:00,Balade éducative > 8 mois,Une balade pour apprendre à vos chiens à évoluer en meute tout en étant attachés. Pour faire des rencontres: cyclistes voitures tracteurs joggeurs etc... Et mettre en pratique les apprentissages du club +/- 4km en urbain et campagne,Club,5€/personne membre 7€/personne non membre,Obligation pour tout détenteur de chien d'avoir un sac à dos contenant une longe de 1Om (PAS DE LAISSE ENROULEUR) de l'eau pour le chien une petite trousse de secours permettant de faire un pansement simple (ofr secourisme canin). Amis bienvenus sur présentation du carnet véto du chien (toux du chenil en plus des vaccins habituels). Chien non membre du club : munissez vous du carnet vétérinaire ! Pas besoin de s'inscrire à l'avance. Paiement au départ de la balade,balade
2025-09-06,10:00,14:00,Balade éducative - Chiots,Une balade pour apprendre à vos chiens à évoluer en meute tout en étant attachés. Pour faire des rencontres: cyclistes voitures tracteurs joggeurs etc... Et mettre en pratique les apprentissages du club +/- 4km en urbain et campagne,Club,5€/personne membre 7€/personne non membre,Obligation pour tout détenteur de chien d'avoir un sac à dos contenant une longe de 1Om (PAS DE LAISSE ENROULEUR) de l'eau pour le chien une petite trousse de secours permettant de faire un pansement simple (ofr secourisme canin). Amis bienvenus sur présentation du carnet véto du chien (toux du chenil en plus des vaccins habituels). Chien non membre du club : munissez vous du carnet vétérinaire ! Pas besoin de s'inscrire à l'avance. Paiement au départ de la balade,balade
2025-08-16,10:00,14:00,Balade éducative > 8 mois,Une balade pour apprendre à vos chiens à évoluer en meute tout en étant attachés. Pour faire des rencontres: cyclistes voitures tracteurs joggeurs etc... Et mettre en pratique les apprentissages du club +/- 4km en urbain et campagne,Club,5€/personne membre 7€/personne non membre,Obligation pour tout détenteur de chien d'avoir un sac à dos contenant une longe de 1Om (PAS DE LAISSE ENROULEUR) de l'eau pour le chien une petite trousse de secours permettant de faire un pansement simple (ofr secourisme canin). Amis bienvenus sur présentation du carnet véto du chien (toux du chenil en plus des vaccins habituels). Chien non membre du club : munissez vous du carnet vétérinaire ! Pas besoin de s'inscrire à l'avance. Paiement au départ de la balade,balade
2025-08-02,10:00,14:00,Balade éducative - Chiots,Une balade pour apprendre à vos chiens à évoluer en meute tout en étant attachés. Pour faire des rencontres: cyclistes voitures tracteurs joggeurs etc... Et mettre en pratique les apprentissages du club +/- 4km en urbain et campagne,Club,5€/personne membre 7€/personne non membre,Obligation pour tout détenteur de chien d'avoir un sac à dos contenant une longe de 1Om (PAS DE LAISSE ENROULEUR) de l'eau pour le chien une petite trousse de secours permettant de faire un pansement simple (ofr secourisme canin). Amis bienvenus sur présentation du carnet véto du chien (toux du chenil en plus des vaccins habituels). Chien non membre du club : munissez vous du carnet vétérinaire ! Pas besoin de s'inscrire à l'avance. Paiement au départ de la balade,balade
2025-07-27,09:00,17:00,Test de sociabilité (TS),Test de sociabilité + grand BBQ annuel du Club,Club,TS: 12€/chien Assiette BBQ 2 viandes + crudités + pain et pdt : 15€,Le test est accessible aux chiens de 9 mois accomplis. Inscriptions auprès de Dany. Réservations et paiements repas pour le 19/7 !,test
2025-07-19,10:00,14:00,Balade éducative > 8 mois,Une balade pour apprendre à vos chiens à évoluer en meute tout en étant attachés. Pour faire des rencontres: cyclistes voitures tracteurs joggeurs etc... Et mettre en pratique les apprentissages du club +/- 4km en urbain et campagne,Club,5€/personne membre 7€/personne non membre,Obligation pour tout détenteur de chien d'avoir un sac à dos contenant une longe de 1Om (PAS DE LAISSE ENROULEUR) de l'eau pour le chien une petite trousse de secours permettant de faire un pansement simple (ofr secourisme canin). Amis bienvenus sur présentation du carnet véto du chien (toux du chenil en plus des vaccins habituels). Chien non membre du club : munissez vous du carnet vétérinaire ! Pas besoin de s'inscrire à l'avance. Paiement au départ de la balade,balade
2025-07-13,10:00,18:00,Week-end grands travaux (2/2),Remise en ordre des terrains débroussaillage tonte des haies arrachages mauvaises herbes tension des barbelés nettoyage des modules nettoyage sous carpot grand nettoyage cafétariat et annexes (fenêtres murs radiateurs ...) ...,Club,,Même 1h de votre temps nous sera utile. Si vous avez taille haie débroussailleuse essence grattoirs râteaux ... merci de les prendre plus on a de matériel plus vite on avance. Bienvenue à tous on compte sur votre esprit club 😉,travaux
2025-07-12,10:00,18:00,Week-end grands travaux (1/2),Remise en ordre des terrains débroussaillage tonte des haies arrachages mauvaises herbes tension des barbelés nettoyage des modules nettoyage sous carpot grand nettoyage cafétariat et annexes (fenêtres murs radiateurs ...) ...,Club,,Même 1h de votre temps nous sera utile. Si vous avez taille haie débroussailleuse essence grattoirs râteaux ... merci de les prendre plus on a de matériel plus vite on avance. Bienvenue à tous on compte sur votre esprit club 😉,travaux
2025-07-05,10:00,14:00,Balade éducative - Chiots,Une balade pour apprendre à vos chiens à évoluer en meute tout en étant attachés. Pour faire des rencontres: cyclistes voitures tracteurs joggeurs etc... Et mettre en pratique les apprentissages du club +/- 4km en urbain et campagne,Club,5€/personne membre 7€/personne non membre,Obligation pour tout détenteur de chien d'avoir un sac à dos contenant une longe de 1Om (PAS DE LAISSE ENROULEUR) de l'eau pour le chien une petite trousse de secours permettant de faire un pansement simple (ofr secourisme canin). Amis bienvenus sur présentation du carnet véto du chien (toux du chenil en plus des vaccins habituels). Chien non membre du club : munissez vous du carnet vétérinaire ! Pas besoin de s'inscrire à l'avance. Paiement au départ de la balade,balade
2025-06-21,10:00,14:00,Balade éducative > 8 mois,Une balade pour apprendre à vos chiens à évoluer en meute tout en étant attachés. Pour faire des rencontres: cyclistes voitures tracteurs joggeurs etc... Et mettre en pratique les apprentissages du club +/- 4km en urbain et campagne,Club,5€/personne membre 7€/personne non membre,Obligation pour tout détenteur de chien d'avoir un sac à dos contenant une longe de 1Om (PAS DE LAISSE ENROULEUR) de l'eau pour le chien une petite trousse de secours permettant de faire un pansement simple (ofr secourisme canin). Amis bienvenus sur présentation du carnet véto du chien (toux du chenil en plus des vaccins habituels). Chien non membre du club : munissez vous du carnet vétérinaire ! Pas besoin de s'inscrire à l'avance. Paiement au départ de la balade,balade
2025-06-15,10:00,18:00,Initiation au secourisme canin,,Club,,,formation
2025-06-07,10:00,14:00,Balade éducative - Chiots,Une balade pour apprendre à vos chiens à évoluer en meute tout en étant attachés. Pour faire des rencontres: cyclistes voitures tracteurs joggeurs etc... Et mettre en pratique les apprentissages du club +/- 4km en urbain et campagne,Club,5€/personne membre 7€/personne non membre,Obligation pour tout détenteur de chien d'avoir un sac à dos contenant une longe de 1Om (PAS DE LAISSE ENROULEUR) de l'eau pour le chien une petite trousse de secours permettant de faire un pansement simple (ofr secourisme canin). Amis bienvenus sur présentation du carnet véto du chien (toux du chenil en plus des vaccins habituels). Chien non membre du club : munissez vous du carnet vétérinaire ! Pas besoin de s'inscrire à l'avance. Paiement au départ de la balade,balade
2025-05-17,10:00,14:00,Balade éducative > 8 mois,Une balade pour apprendre à vos chiens à évoluer en meute tout en étant attachés. Pour faire des rencontres: cyclistes voitures tracteurs joggeurs etc... Et mettre en pratique les apprentissages du club +/- 4km en urbain et campagne,Club,5€/personne membre 7€/personne non membre,Obligation pour tout détenteur de chien d'avoir un sac à dos contenant une longe de 1Om (PAS DE LAISSE ENROULEUR) de l'eau pour le chien une petite trousse de secours permettant de faire un pansement simple (ofr secourisme canin). Amis bienvenus sur présentation du carnet véto du chien (toux du chenil en plus des vaccins habituels). Chien non membre du club : munissez vous du carnet vétérinaire ! Pas besoin de s'inscrire à l'avance. Paiement au départ de la balade,balade
2025-05-03,10:00,14:00,Balade éducative - Chiots,Une balade pour apprendre à vos chiens à évoluer en meute tout en étant attachés. Pour faire des rencontres: cyclistes voitures tracteurs joggeurs etc... Et mettre en pratique les apprentissages du club +/- 4km en urbain et campagne,Club,5€/personne membre 7€/personne non membre,Obligation pour tout détenteur de chien d'avoir un sac à dos contenant une longe de 1Om (PAS DE LAISSE ENROULEUR) de l'eau pour le chien une petite trousse de secours permettant de faire un pansement simple (ofr secourisme canin). Amis bienvenus sur présentation du carnet véto du chien (toux du chenil en plus des vaccins habituels). Chien non membre du club : munissez vous du carnet vétérinaire ! Pas besoin de s'inscrire à l'avance. Paiement au départ de la balade,balade
2025-04-18,10:00,20:00,Démo canine au Mont Légia,dans le cadre de la semaine de l'enfant à l'hôpital,Mont Légia,,,demo
2025-04-13,15:00,20:00,Jeux sans frontières,Jeux et amusement avec nos poilus suivis d'une petite restauration,Club,,,jeux
2025-03-15,10:00,18:00,Salon du bien-être animal,,Engis,,,salon
2025-02-16,10:00,18:00,Initiation au secourisme canin,,Club,,,formation
2024-12-24,00:00,00:00,Fermeture annuelle du club,Le club est fermé pendant cette période,Club,,,fermeture
2024-12-15,14:00,16:00,Visite de Saint Nicolas et Père Noël + goûter,,Club,,,evenement
2024-11-10,14:00,18:00,Balade éducative,,Club,,,balade
2024-10-31,18:00,22:00,Balade contée Halloween + souper,,Club,,,evenement
2024-09-15,13:00,18:00,Rassemblement,,Club,,,rassemblement
2024-08-11,14:00,18:00,Balade éducative,,Club,,,balade
2024-07-28,09:00,17:00,Test de sociabilité (TS),,Club,,,test
2024-07-14,10:00,18:00,Week-end grands travaux (2/2),,Club,,,travaux
2024-07-13,10:00,18:00,Week-end grands travaux (1/2),,Club,,,travaux
2024-06-23,14:00,18:00,Balade éducative,,Club,,,balade
2024-06-16,10:00,18:00,Initiation au secourisme canin,,Club,,,formation
2024-06-01,19:00,22:00,Assemblée générale,,Club,,,ag
2024-04-06,15:00,20:00,Jeux sans frontières,,Club,,,jeux
2024-03-17,14:00,18:00,Balade éducative,,Club,,,balade
2024-01-28,14:00,18:00,Balade éducative,,Club,,,balade
2023-12-10,13:00,17:00,Visite de Saint Nicolas,,Club,,,evenement
2023-11-19,14:00,18:00,Balade éducative,,Club,,,balade
2023-11-05,10:00,18:00,Initiation au secourisme canin,,Club,,,formation
2023-10-07,16:00,22:00,Jeux et souper,,Club,,,jeux
2023-09-10,10:00,14:00,Balade éducative,,Club,,,balade
2023-07-30,09:00,17:00,Test de sociabilité (TS),,Club,,,test
2023-07-18,20:15,22:00,Training TS,,Club,,,training
2023-07-16,10:00,18:00,Week-end grands travaux (2/2),,Club,,,travaux
2023-07-15,10:00,18:00,Week-end grands travaux (1/2),,Club,,,travaux
2023-07-15,10:45,12:00,Training TS,,Club,,,training
2023-07-14,20:15,22:00,Training TS,,Club,,,training
2023-07-09,14:00,18:00,Balade éducative,,Club,,,balade
2023-06-24,14:00,16:00,Conférence mastication,Conférence sur l'importance de la mastication chez le chien,Club,10€/personne,Maximum 30 personnes moniteurs compris. Chiens admis. Inscription au secrétariat,conference
2023-06-11,11:00,13:00,Cours de socialisation,Cours de socialisation sur la Brocante des Fagnes avec possibilité de faire un exercice de pose en dégustant un pain saucisse.,Brocante des Fagnes,2€/chien 4€/pain saucisse,Inscription au secrétariat,formation 